typeNo,typeId,typeName,englishName,baseCode,mainRouteId,mainRoute,subRouteId,subRoute,evidenceQuestionIds,topAbility1,topAbility2,relativeLagAbility,topAxis1,topAxis2,centralAxis,logic,execution,sales,creativity,management,thinking,action,offensive,stable,individual,group,divergent,convergent,bestPartner,evidenceCount,evidenceWeightFormula,scoreRatio,lockStatus
6,precision-sniper,精密スナイパー,Insight Sniper,TSIF,precision-sniper.m04,最小介入,precision-sniper.m04.s01,修正点限定,"q01,q03,q07,q08,q16,q19,q21,q24,q25,q26,q29,q36,q37",論理力,実行力,営業力,収束,個人突破,安定,91,88,56,70,82,76,24,26,74,91,9,4,96,孤高のクラフター,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
6,precision-sniper,精密スナイパー,Insight Sniper,TSIF,precision-sniper.m04,最小介入,precision-sniper.m04.s02,予防確認,"q01,q03,q05,q06,q08,q09,q14,q18,q22,q26,q30,q33,q34,q38,q39",管理力,論理力,創造力,安定,収束,個人突破,93,78,64,58,95,84,16,5,95,57,43,11,89,城塞の守護者,15,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
7,structure-hacker,構造ハッカー,Structure Hacker,TSGE,structure-hacker.m01,流れ再設計,structure-hacker.m01.s01,滞留解除,"q01,q04,q07,q08,q09,q15,q16,q18,q22,q29,q33,q37,q39",論理力,管理力,営業力,思考,安定,発散,94,81,60,82,90,88,12,22,78,24,76,71,29,前線指揮官,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
7,structure-hacker,構造ハッカー,Structure Hacker,TSGE,structure-hacker.m01,流れ再設計,structure-hacker.m01.s02,受け渡し設計,"q03,q05,q11,q15,q18,q22,q23,q33,q35,q39",管理力,論理力,創造力,組織推進,安定,発散,88,74,79,72,96,82,18,14,86,9,91,65,35,ギルド調律師,10,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
7,structure-hacker,構造ハッカー,Structure Hacker,TSGE,structure-hacker.m01,流れ再設計,structure-hacker.m01.s03,並行化,"q04,q06,q07,q14,q20,q23,q24,q28,q30,q33,q39,q40",創造力,実行力,営業力,発散,組織推進,安定,85,90,65,94,82,76,24,30,70,16,84,89,11,完遂クローザー,12,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
7,structure-hacker,構造ハッカー,Structure Hacker,TSGE,structure-hacker.m02,接続再設計,structure-hacker.m02.s01,責任境界,"q03,q07,q15,q18,q19,q23,q27,q31,q35,q39",管理力,論理力,創造力,思考,組織推進,発散,92,75,76,70,95,89,11,16,84,12,88,62,38,ギルド調律師,10,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
7,structure-hacker,構造ハッカー,Structure Hacker,TSGE,structure-hacker.m02,接続再設計,structure-hacker.m02.s02,判断窓口,"q01,q05,q11,q15,q16,q17,q18,q21,q24,q32,q35,q39",論理力,営業力,実行力,思考,組織推進,発散,96,72,88,75,84,91,9,27,73,14,86,68,32,前線指揮官,12,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
7,structure-hacker,構造ハッカー,Structure Hacker,TSGE,structure-hacker.m02,接続再設計,structure-hacker.m02.s03,専門連携,"q04,q07,q12,q15,q19,q20,q23,q24,q27,q31,q35,q39",創造力,営業力,実行力,組織推進,発散,思考,86,73,90,93,81,74,26,23,77,5,95,91,9,巻き込みプロデューサー,12,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
7,structure-hacker,構造ハッカー,Structure Hacker,TSGE,structure-hacker.m03,運用再設計,structure-hacker.m03.s01,例外吸収,"q06,q10,q14,q18,q22,q25,q29,q30,q34,q37,q38,q39",管理力,論理力,営業力,安定,思考,発散,90,78,62,84,97,83,17,6,94,18,82,79,21,精密スナイパー,12,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
7,structure-hacker,構造ハッカー,Structure Hacker,TSGE,structure-hacker.m03,運用再設計,structure-hacker.m03.s02,標準更新,"q02,q06,q09,q14,q18,q22,q26,q30,q33,q34,q37,q38,q39",管理力,論理力,営業力,安定,組織推進,発散,91,80,68,78,96,86,14,8,92,10,90,73,27,孤高のクラフター,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
7,structure-hacker,構造ハッカー,Structure Hacker,TSGE,structure-hacker.m04,学習再設計,structure-hacker.m04.s01,知識再利用,"q04,q09,q12,q20,q23,q24,q28,q33,q36,q39,q40",創造力,管理力,実行力,発散,組織推進,思考,84,70,82,98,90,79,21,12,88,7,93,96,4,独創の発明家,11,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
7,structure-hacker,構造ハッカー,Structure Hacker,TSGE,structure-hacker.m04,学習再設計,structure-hacker.m04.s02,改善循環,"q01,q07,q08,q14,q15,q18,q22,q25,q29,q32,q37,q39,q40",論理力,創造力,営業力,思考,組織推進,安定,95,82,77,91,88,92,8,19,81,11,89,87,13,突撃クリエイター,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
8,fortress-guardian,城塞の守護者,Castle Guardian,TSGF,fortress-guardian.m01,保全基準,fortress-guardian.m01.s01,品質下限,"q01,q02,q05,q06,q08,q12,q16,q18,q22,q24,q26,q30,q32,q34,q38,q40",管理力,論理力,創造力,安定,収束,組織推進,88,66,58,55,96,84,16,6,94,28,72,10,90,精密スナイパー,16,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
8,fortress-guardian,城塞の守護者,Castle Guardian,TSGF,fortress-guardian.m01,保全基準,fortress-guardian.m01.s02,信用・法令境界,"q01,q03,q05,q06,q10,q11,q14,q15,q17,q18,q21,q22,q26,q30,q34,q35,q38,q39",管理力,論理力,創造力,安定,収束,組織推進,94,60,76,52,95,90,10,4,96,22,78,8,92,営業モンスター,18,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
8,fortress-guardian,城塞の守護者,Castle Guardian,TSGF,fortress-guardian.m01,保全基準,fortress-guardian.m01.s03,情報・権限境界,"q01,q03,q05,q06,q08,q09,q10,q13,q15,q16,q17,q18,q22,q25,q29,q33,q34,q37,q39",論理力,管理力,営業力,収束,思考,組織推進,96,70,55,58,93,92,8,9,91,34,66,6,94,構造ハッカー,19,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
8,fortress-guardian,城塞の守護者,Castle Guardian,TSGF,fortress-guardian.m02,早期把握,fortress-guardian.m02.s01,兆候監視,"q01,q02,q05,q06,q08,q12,q16,q17,q18,q21,q22,q24,q25,q29,q30,q32,q34,q37,q38,q40",論理力,管理力,営業力,収束,思考,組織推進,95,72,54,62,89,88,12,14,86,36,64,4,96,前線指揮官,20,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
8,fortress-guardian,城塞の守護者,Castle Guardian,TSGF,fortress-guardian.m02,早期把握,fortress-guardian.m02.s02,例外報告,"q03,q05,q07,q10,q11,q14,q15,q18,q19,q22,q23,q25,q27,q29,q31,q34,q35,q38,q39",管理力,営業力,創造力,安定,組織推進,収束,84,62,88,55,96,82,18,8,92,10,90,24,76,ギルド調律師,19,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
8,fortress-guardian,城塞の守護者,Castle Guardian,TSGF,fortress-guardian.m03,継続設計,fortress-guardian.m03.s01,代替経路,"q01,q02,q03,q05,q06,q07,q09,q10,q13,q14,q18,q19,q22,q23,q25,q29,q30,q34,q37,q38,q39",管理力,創造力,営業力,安定,収束,組織推進,80,76,58,82,94,78,22,5,95,26,74,16,84,独創の発明家,21,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
8,fortress-guardian,城塞の守護者,Castle Guardian,TSGF,fortress-guardian.m03,継続設計,fortress-guardian.m03.s02,判断継承,"q01,q03,q05,q07,q09,q11,q13,q15,q17,q18,q19,q21,q22,q23,q27,q31,q33,q35,q37,q39",管理力,論理力,創造力,安定,組織推進,収束,88,64,84,54,97,86,14,7,93,8,92,20,80,企画軍師,20,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
8,fortress-guardian,城塞の守護者,Castle Guardian,TSGF,fortress-guardian.m03,継続設計,fortress-guardian.m03.s03,復旧順序,"q01,q03,q05,q06,q07,q08,q10,q15,q16,q17,q18,q21,q22,q24,q25,q29,q30,q32,q34,q37,q38,q39",管理力,論理力,創造力,安定,収束,組織推進,92,82,57,56,95,84,16,4,96,22,78,6,94,最後の砦,22,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
8,fortress-guardian,城塞の守護者,Castle Guardian,TSGF,fortress-guardian.m04,変更統制,fortress-guardian.m04.s01,段階導入,"q01,q02,q03,q04,q05,q06,q10,q11,q14,q15,q18,q20,q21,q22,q23,q24,q26,q28,q30,q32,q34,q36,q38,q40",管理力,論理力,営業力,安定,組織推進,収束,84,78,70,76,93,80,20,11,89,18,82,28,72,突撃クリエイター,24,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
8,fortress-guardian,城塞の守護者,Castle Guardian,TSGF,fortress-guardian.m04,変更統制,fortress-guardian.m04.s02,停止・撤回,"q01,q02,q04,q05,q06,q08,q10,q12,q14,q16,q17,q18,q20,q21,q22,q24,q25,q26,q28,q29,q30,q32,q34,q36,q37,q38,q40",論理力,管理力,創造力,安定,収束,組織推進,97,72,58,54,96,94,6,2,98,30,70,4,96,勝ち筋ハンター,27,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m01,試作先行,assault-creator.m01.s01,即応試作,"q01,q05,q13,q21",実行力,創造力,管理力,行動,個人突破,発散,72,93,64,78,60,18,82,66,34,72,28,59,41,精密スナイパー,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m01,試作先行,assault-creator.m01.s02,仮説試作,"q08,q16,q17,q21,q24,q32",論理力,実行力,営業力,行動,個人突破,発散,91,88,61,74,66,30,70,64,36,69,31,58,42,独創の発明家,6,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m01,試作先行,assault-creator.m01.s03,生成試作,"q20,q24,q28,q33",創造力,実行力,管理力,発散,行動,個人突破,70,83,63,94,59,27,73,68,32,65,35,86,14,完遂クローザー,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m02,反応編集,assault-creator.m02.s01,反応変換,"q11,q18,q20,q24,q35,q36",営業力,創造力,管理力,攻め,発散,個人突破,84,79,92,88,67,32,68,74,26,58,42,71,29,完遂クローザー,6,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m02,反応編集,assault-creator.m02.s02,対話更新,"q11,q15,q35,q39",営業力,創造力,管理力,攻め,発散,個人突破,78,73,95,82,69,36,64,70,30,55,45,67,33,ギルド調律師,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m03,複線探索,assault-creator.m03.s01,並行試行,"q10,q20,q22,q28,q32",実行力,創造力,管理力,発散,行動,個人突破,74,90,71,87,62,24,76,72,28,63,37,84,16,前線指揮官,5,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m03,複線探索,assault-creator.m03.s02,組み替え展開,"q12,q24,q36",創造力,実行力,管理力,発散,個人突破,攻め,76,77,68,95,64,31,69,65,35,70,30,88,12,企画軍師,3,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m03,複線探索,assault-creator.m03.s03,選別集中,"q24,q28,q32",実行力,論理力,管理力,攻め,個人突破,発散,88,91,72,80,65,28,72,85,15,73,27,69,31,城塞の守護者,3,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m04,停滞突破,assault-creator.m04.s01,手段転換,"q14,q36,q37",実行力,創造力,管理力,行動,個人突破,発散,73,89,65,86,61,21,79,69,31,75,25,66,34,精密スナイパー,3,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m04,停滞突破,assault-creator.m04.s02,即応復旧,"q25,q29,q37",実行力,創造力,営業力,行動,個人突破,発散,69,96,62,76,63,12,88,67,33,78,22,60,40,構造ハッカー,3,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m04,停滞突破,assault-creator.m04.s03,資源組み替え,"q07,q19,q23,q39",実行力,営業力,論理力,行動,発散,個人突破,75,84,82,78,81,26,74,63,37,54,46,65,35,ギルド調律師,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m05,成果拡張,assault-creator.m05.s01,横展開,"q14,q36,q38,q40",創造力,営業力,管理力,攻め,発散,個人突破,76,82,89,91,68,33,67,82,18,61,39,78,22,構造ハッカー,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
9,assault-creator,突撃クリエイター,Vanguard Creator,AOIE,assault-creator.m05,成果拡張,assault-creator.m05.s02,集中増幅,"q06,q26,q30",実行力,営業力,管理力,攻め,個人突破,発散,79,94,84,77,66,25,75,91,9,76,24,62,38,城塞の守護者,3,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
10,sales-monster,営業モンスター,Sales Beast,AOIF,sales-monster.m01,懸念解消,sales-monster.m01.s01,原因特定,"q11,q15,q35",営業力,論理力,創造力,収束,行動,個人突破,88,76,94,62,70,28,72,69,31,60,40,26,74,ギルド調律師,3,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
10,sales-monster,営業モンスター,Sales Beast,AOIF,sales-monster.m01,懸念解消,sales-monster.m01.s02,証拠解消,"q08,q16,q17,q21",論理力,実行力,創造力,収束,行動,個人突破,93,87,82,60,72,34,66,65,35,58,42,22,78,精密スナイパー,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
10,sales-monster,営業モンスター,Sales Beast,AOIF,sales-monster.m01,懸念解消,sales-monster.m01.s03,代替解消,"q14,q22,q35,q37",営業力,創造力,管理力,攻め,行動,収束,75,83,92,90,64,24,76,78,22,67,33,39,61,完遂クローザー,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
10,sales-monster,営業モンスター,Sales Beast,AOIF,sales-monster.m02,比較圧縮,sales-monster.m02.s01,基準整理,"q08,q12,q16,q24,q32",論理力,営業力,創造力,収束,攻め,個人突破,95,72,86,58,80,39,61,64,36,55,45,14,86,企画軍師,5,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
10,sales-monster,営業モンスター,Sales Beast,AOIF,sales-monster.m02,比較圧縮,sales-monster.m02.s02,本命提示,"q21,q24,q30,q32",論理力,実行力,創造力,収束,攻め,個人突破,90,88,83,56,66,25,75,84,16,71,29,12,88,城塞の守護者,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
10,sales-monster,営業モンスター,Sales Beast,AOIF,sales-monster.m03,条件設計,sales-monster.m03.s01,条件調整,"q11,q15,q18",営業力,論理力,創造力,収束,攻め,個人突破,87,74,93,68,82,32,68,73,27,57,43,24,76,前線指揮官,3,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
10,sales-monster,営業モンスター,Sales Beast,AOIF,sales-monster.m03,条件設計,sales-monster.m03.s02,段階合意,"q05,q11,q17,q21",実行力,営業力,創造力,行動,収束,個人突破,78,92,90,64,75,18,82,69,31,62,38,28,72,精密スナイパー,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
10,sales-monster,営業モンスター,Sales Beast,AOIF,sales-monster.m03,条件設計,sales-monster.m03.s03,関係者接続,"q11,q15,q23,q39",営業力,管理力,創造力,収束,攻め,個人突破,82,72,94,60,91,35,65,67,33,53,47,25,75,ギルド調律師,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
10,sales-monster,営業モンスター,Sales Beast,AOIF,sales-monster.m04,行動着地,sales-monster.m04.s01,即時着地,"q05,q21,q35",実行力,営業力,創造力,行動,攻め,個人突破,72,96,92,59,63,10,90,86,14,74,26,19,81,完遂クローザー,3,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
10,sales-monster,営業モンスター,Sales Beast,AOIF,sales-monster.m04,行動着地,sales-monster.m04.s02,追跡着地,"q11,q21,q35,q39",営業力,管理力,創造力,収束,行動,個人突破,84,85,91,57,89,27,73,62,38,56,44,20,80,完遂クローザー,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
11,producer,巻き込みプロデューサー,Momentum Igniter,AOGE,producer.m01,参加起動,producer.m01.s01,意味付与,"q11,q15,q35",営業力,創造力,管理力,組織推進,発散,行動,70,78,94,89,62,34,66,68,32,26,74,72,28,完遂クローザー,3,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
11,producer,巻き込みプロデューサー,Momentum Igniter,AOGE,producer.m01,参加起動,producer.m01.s02,役割提示,"q03,q11,q23,q39",営業力,管理力,創造力,組織推進,攻め,発散,76,72,91,68,88,36,64,65,35,22,78,60,40,ギルド調律師,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
11,producer,巻き込みプロデューサー,Momentum Igniter,AOGE,producer.m01,参加起動,producer.m01.s03,初動形成,"q05,q17,q21,q35,q37",実行力,営業力,管理力,行動,攻め,発散,68,94,90,74,64,18,82,74,26,34,66,62,38,攻城参謀,5,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
11,producer,巻き込みプロデューサー,Momentum Igniter,AOGE,producer.m02,共同試作,producer.m02.s01,対話編集,"q11,q20,q24,q35",営業力,創造力,管理力,発散,組織推進,攻め,72,75,93,92,60,32,68,67,33,24,76,82,18,勝ち筋ハンター,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
11,producer,巻き込みプロデューサー,Momentum Igniter,AOGE,producer.m02,共同試作,producer.m02.s02,現場試作,"q01,q05,q11,q17,q22,q37",実行力,創造力,論理力,行動,発散,攻め,64,95,82,88,66,16,84,70,30,29,71,74,26,最後の砦,6,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
11,producer,巻き込みプロデューサー,Momentum Igniter,AOGE,producer.m03,資源接続,producer.m03.s01,強み配置,"q03,q18,q22,q23,q27,q31,q39",営業力,管理力,実行力,組織推進,発散,行動,74,70,90,72,89,38,62,64,36,14,86,66,34,ギルド調律師,7,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
11,producer,巻き込みプロデューサー,Momentum Igniter,AOGE,producer.m03,資源接続,producer.m03.s02,条件再編,"q06,q24,q30,q36",創造力,論理力,実行力,発散,攻め,行動,89,66,70,93,78,40,60,72,28,36,64,80,20,城塞の守護者,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
11,producer,巻き込みプロデューサー,Momentum Igniter,AOGE,producer.m03,資源接続,producer.m03.s03,境界接続,"q15,q19,q23,q39",営業力,管理力,創造力,組織推進,攻め,発散,82,68,92,64,90,35,65,66,34,12,88,62,38,構造ハッカー,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
11,producer,巻き込みプロデューサー,Momentum Igniter,AOGE,producer.m04,連鎖拡張,producer.m04.s01,成果展開,"q12,q16,q23,q24,q27,q31,q36,q40",創造力,論理力,管理力,発散,攻め,組織推進,84,82,75,96,60,30,70,82,18,38,62,88,12,勝ち筋ハンター,8,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
11,producer,巻き込みプロデューサー,Momentum Igniter,AOGE,producer.m04,連鎖拡張,producer.m04.s02,協力連鎖,"q12,q15,q16,q19,q23,q27,q28,q31",営業力,創造力,論理力,組織推進,発散,行動,66,78,94,91,70,32,68,76,24,10,90,84,16,最後の砦,8,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
12,frontline-commander,前線指揮官,Frontline Commander,AOGF,frontline-commander.m01,危機制御,frontline-commander.m01.s01,影響封じ,"q07,q21,q25,q29",実行力,管理力,創造力,行動,収束,組織推進,70,96,74,61,79,9,91,78,22,28,72,16,84,精密スナイパー,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
12,frontline-commander,前線指揮官,Frontline Commander,AOGF,frontline-commander.m01,危機制御,frontline-commander.m01.s02,復旧再開,"q22,q23,q29,q37",実行力,創造力,管理力,行動,攻め,組織推進,73,95,76,87,64,12,88,83,17,31,69,28,72,城塞の守護者,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
12,frontline-commander,前線指揮官,Frontline Commander,AOGF,frontline-commander.m02,戦力再編,frontline-commander.m02.s01,得意配置,"q15,q23,q27,q31",管理力,営業力,創造力,組織推進,行動,攻め,77,82,90,70,91,27,73,69,31,12,88,30,70,ギルド調律師,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
12,frontline-commander,前線指揮官,Frontline Commander,AOGF,frontline-commander.m02,戦力再編,frontline-commander.m02.s02,重点投入,"q02,q06,q26,q30",実行力,管理力,創造力,攻め,収束,組織推進,80,94,75,60,85,18,82,91,9,26,74,13,87,城塞の守護者,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
12,frontline-commander,前線指揮官,Frontline Commander,AOGF,frontline-commander.m02,戦力再編,frontline-commander.m02.s03,責任再設定,"q03,q07,q15,q39",管理力,論理力,創造力,組織推進,収束,攻め,84,75,82,56,96,33,67,65,35,8,92,22,78,構造ハッカー,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
12,frontline-commander,前線指揮官,Frontline Commander,AOGF,frontline-commander.m03,方針収束,frontline-commander.m03.s01,仮方針,"q05,q17,q21,q37",実行力,論理力,創造力,行動,収束,組織推進,79,97,73,66,74,7,93,76,24,32,68,21,79,精密スナイパー,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
12,frontline-commander,前線指揮官,Frontline Commander,AOGF,frontline-commander.m03,方針収束,frontline-commander.m03.s02,重点方針,"q08,q12,q16,q24,q28,q32,q40",論理力,実行力,創造力,収束,攻め,組織推進,94,86,70,54,77,30,70,88,12,38,62,4,96,事業構想家,7,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
12,frontline-commander,前線指揮官,Frontline Commander,AOGF,frontline-commander.m03,方針収束,frontline-commander.m03.s03,合意方針,"q11,q15,q35,q39",営業力,管理力,創造力,組織推進,収束,攻め,84,78,95,59,86,28,72,72,28,6,94,18,82,ギルド調律師,4,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
